module,model,accuracy,precision,recall,f1,roc_auc,pr_auc,selected,mae,rmse,mape,clusters,inertia,silhouette
Delivery Risk,Dummy Baseline,0.9470819944024049,0.0,0.0,0.0,0.5,0.05291800559759511,False,,,,,,
Delivery Risk,Logistic Regression,0.5613143982585259,0.09117873228605954,0.8129285014691479,0.16396681153694193,0.7221587509453021,0.11502346665846282,False,,,,,,
Delivery Risk,Decision Tree,0.7672851663729657,0.10426648414328085,0.4476003917727718,0.16913397483345669,0.688484795274714,0.12072841597023763,True,,,,,,
Delivery Risk,Random Forest,0.8761791230434332,0.08545454545454545,0.13809990205680706,0.10557843504305503,0.6167880517987796,0.075170530570081,False,,,,,,
Forecasting,Last Value Naive,,,,,,,True,41682.46250000002,62797.89632479999,0.04867609756184224,,,
Forecasting,Moving Average (3),,,,,,,False,75387.53333333333,78359.99728531028,0.08599951450962898,,,
Forecasting,Seasonal Naive,,,,,,,False,398146.7025,405181.21555284405,0.44755336992766814,,,
Forecasting,Linear Trend + Seasonality,,,,,,,False,293473.8940712835,315860.86132519325,0.34007243366654666,,,
Segmentation,KMeans,,,,,,,True,,,,2.0,190699.72166361145,0.7062215481006
Segmentation,KMeans,,,,,,,False,,,,3.0,127486.6997358836,0.3609961274294279
Segmentation,KMeans,,,,,,,False,,,,4.0,85772.39673212815,0.3712941218799019
Segmentation,KMeans,,,,,,,False,,,,5.0,71310.032857392,0.340944077298275
Segmentation,KMeans,,,,,,,False,,,,6.0,60495.353282262906,0.3361908635771725
Retention,Logistic Regression,0.6016424146376603,0.016576576576576577,0.5609756097560976,0.032201610080504026,0.6136758629395596,0.03185263852111471,True,,,,,,
